time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	1.29445e-321	0	0	0	0	0	0
1477010443349642	0	0	0	0	0	radar	1.39069e-309	0	0	0	0	0	0
1477010444349642	1.55945	-0.138501	0	0	0	lidar	1.29445e-321	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.59584	0.321942	2.12229	0	0	radar	5.95871	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.85976	-0.131716	3.38948	-0.251686	-0.0882465	lidar	2.35588	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.93127	0.0735058	3.38832	-0.124295	-0.054693	radar	0.0168004	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.83733	0.423344	4.66336	-0.00444603	0.0490923	lidar	5.94854	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.73019	0.449592	2.76292	-0.036157	-0.0236413	radar	6.08442	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.08006	0.588841	2.62602	0.103964	0.0882319	lidar	0.124102	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.04443	0.658819	2.57147	0.144499	0.115836	radar	0.00633942	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5688	1.65146	2.97576	0.541818	0.318544	lidar	0.231111	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5377	1.61796	2.7667	0.532552	0.317046	radar	0.0370804	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5925	2.33853	1.92448	0.433245	0.0240754	lidar	0.841346	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.622	2.31346	2.54898	0.396764	-0.00353371	radar	0.388432	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6173	2.91265	3.39958	0.0432903	-0.254316	lidar	0.524392	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5383	2.89073	2.85897	0.0451713	-0.258008	radar	0.308139	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0151	3.67989	2.48058	0.31967	0.116405	lidar	1.06224	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0852	3.70113	2.56015	0.335934	0.129118	radar	0.0217194	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3305	4.72937	2.63338	0.503778	0.15695	lidar	0.00501324	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3928	4.74028	2.91449	0.489252	0.142838	radar	0.0886849	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0687	5.58392	2.86789	0.263616	-0.118504	lidar	0.551702	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1745	5.61785	3.11038	0.248604	-0.130068	radar	0.0957943	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6177	6.94466	2.72984	0.530813	0.163955	lidar	0.874543	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.6149	6.93867	3.06713	0.518325	0.144957	radar	0.113363	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5686	8.09706	3.37237	0.317651	-0.111749	lidar	0.507146	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5487	8.09267	3.08438	0.323643	-0.10823	radar	0.0867525	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9515	9.85795	2.94045	0.728981	0.261974	lidar	1.19182	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.913	9.83579	3.05513	0.714582	0.243376	radar	0.0212897	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.5951	10.7267	2.50765	0.258329	-0.266456	lidar	2.34529	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
